392	view	18437
393	game	18393
394	knew	18357
395	person	18336
396	soon	18315
397	death	18303
398	It's	18290
399	result	18282
400	didn't	18273
401	market	18263
402	book	18230
403	keep	18159
404	kind	18137
405	brought	18107
406	white	17966
407	S	17956
408	round	17951
409	common	17941
410	past	17889
411	why	17887
412	tell	17852
413	words	17768
414	process	17707
415	age	17703
416	Some	17678
417	top	17671
418	late	17565
419	problem	17547
420	question	17538
421	clear	17473
422	behind	17463
423	God	17448
424	building	17428
425	cent	17398
426	months	17321
427	South	17270
428	provide	17179
429	based	17151
430	With	17036
431	matter	17007
432	led	16973
433	French	16971
434	likely	16965
435	run	16898
436	services	16880
437	near	16861
438	terms	16796
439	team	16784
440	sense	16777
441	real	16726
442	woman	16726
443	perhaps	16720
444	areas	16713
445	problems	16706
446	anything	16704
447	six	16701
448	play	16574
449	black	16561
450	love	16459
451	due	16389
452	close	16370
453	feel	16328
454	week	16316
455	idea	16197
456	hard	16185
457	series	16157
458	effect	16144
459	C	16111
460	experience	16062
461	short	16053
462	lost	15985
463	door	15977
464	m	15968
465	free	15874
466	evidence	15811
467	future	15811
468	single	15778
469	study	15677
470	turn	15667
471	let	15660
472	air	15641
473	health	15590
474	policy	15587
475	seems	15543
476	believe	15440
477	heard	15384
478	nature	15370
479	subject	15319
480	moment	15317
481	therefore	15307
482	War	15293
483	looking	15208
484	necessary	15181
485	action	15172
486	include	15152
487	language	15139
488	hands	15128
489	true	15103
490	third	15058
491	groups	15037
492	live	15020
493	whom	15017
494	return	15012
495	difficult	15008
496	education	15007
497	big	14986
498	word	14981
499	particularly	14966
500	national	14965
501	various	14956
502	taking	14930
503	former	14917
504	especially	14907
505	front	14863
506	usually	14860
507	West	14847
508	Now	14837
509	wanted	14830
510	World	14727
511	special	14694
512	Act	14680
513	economic	14658
514	similar	14638
515	probably	14614
516	cases	14607
517	reason	14582
518	outside	14520
519	strong	14496
520	community	14495
521	individual	14438
522	range	14411
523	role	14405
524	National	14383
525	p	14369
526	class	14343
527	built	14339
528	European	14327
529	ground	14255
530	Britain	14228
531	sure	14193
532	received	14127
533	call	14068
534	sometimes	14038
535	added	14013
536	start	13976
537	provided	13947
538	required	13946
539	leave	13915
540	mean	13889
541	read	13878
542	doing	13863
543	living	13746
544	considered	13741
545	story	13725
546	society	13703
547	police	13686
548	research	13685
549	rest	13672
550	followed	13669
551	car	13615
552	students	13610
553	Although	13549
554	From	13528
555	How	13526
556	wife	13509
557	An	13496
558	needs	13470
559	My	13459
560	continued	13447
561	road	13434
562	population	13432
563	data	13428
564	Europe	13423
565	May	13408
566	established	13402
567	personal	13397
568	private	13374
569	pay	13365
570	makes	13349
571	longer	13318
572	force	13300
573	morning	13289
574	sent	13284
575	town	13282
576	North	13262
577	started	13260
578	military	13212
579	de	13206
580	low	13156
581	involved	13144
582	heart	13139
583	poor	13072
584	voice	13039
585	office	13021
586	House	12998
587	ago	12996
588	move	12990
589	cost	12976
590	St	12958
591	original	12948
592	knowledge	12946
593	food	12942
594	trade	12932
595	modern	12919
596	changes	12889
597	simply	12884
598	value	12880
599	US	12849
600	court	12823
601	hours	12823
602	music	12792
603	training	12770
604	account	12736
605	included	12720
606	final	12679
607	character	12674
608	State	12653
609	lot	12645
610	season	12642
611	thus	12634
612	natural	12603
613	systems	12576
614	York	12554
615	report	12531
616	countries	12525
617	feet	12524
618	girl	12519
619	practice	12506
620	written	12452
621	friends	12440
622	deal	12438
623	field	12424
624	can't	12402
625	developed	12397
626	moved	12263
627	seem	12248
628	job	12224
629	art	12194
630	German	12191
631	higher	12167
632	rights	12139
633	try	12110
634	While	12091
635	cut	12089
636	son	12087
637	described	12077
638	I've	12076
639	coming	12046
640	conditions	12039
641	rate	12036
642	U	12029
643	record	12022
644	alone	12017
645	Of	11960
646	needed	11953
647	section	11950
648	cause	11934
649	During	11848
650	June	11847
651	companies	11838
652	passed	11835
653	herself	11835
654	expected	11823
655	fire	11822
656	Not	11807
657	lead	11777
658	April	11773
659	industry	11772
660	decided	11764
661	production	11728
662	gone	11692
663	B	11641
664	March	11637
665	comes	11620
666	management	11601
667	boy	11601
668	success	11594
669	kept	11554
670	attention	11548
671	else	11530
672	greater	11511
673	sort	11479
674	issue	11463
675	points	11456
676	stood	11454
677	increase	11441
678	hope	11432
679	Lord	11418
680	East	11390
681	nor	11362
682	works	11341
683	America	11337
684	School	11333
685	Well	11327
686	staff	11310
687	France	11281
688	schools	11266
689	member	11253
690	earlier	11246
691	meeting	11219
692	sound	11213
693	generally	11213
694	decision	11212
695	allowed	11196
696	friend	11187
697	met	11180
698	approach	11174
699	bring	11173
700	total	11162
701	ten	11147
702	ways	11133
703	forces	11100
704	offer	11095
705	died	11087
706	stage	11036
707	authority	11024
708	played	11024
709	reached	11012
710	design	10988
711	parents	10983
712	amp	10973
713	returned	10969
714	paper	10952
715	current	10939
716	international	10928
717	beginning	10906
718	September	10904
719	carried	10898
720	situation	10874
721	type	10857
722	church	10855
723	understand	10855
724	property	10849
725	tried	10837
726	sea	10827
727	Oh	10814
728	minutes	10809
729	material	10798
730	City	10788
731	I'll	10752
732	won	10750
733	meet	10739
734	recent	10735
735	results	10731
736	table	10723
737	trying	10713
738	film	10707
739	below	10705
740	parts	10679
741	movement	10669
742	indeed	10659
743	talk	10630
744	site	10628
745	instead	10618
746	space	10616
747	shown	10611
748	getting	10600
749	plan	10598
750	October	10589
751	influence	10559
752	Her	10556
753	hold	10529
754	Street	10506
755	performance	10501
756	July	10500
757	myself	10492
758	General	10477
759	saying	10474
760	produced	10472
761	wrote	10451
762	simple	10434
763	R	10426
764	everything	10415
765	Many	10409
766	Even	10403
767	term	10385
768	central	10331
769	quality	10321
770	running	10318
771	increased	10292
772	January	10290
773	paid	10288
774	significant	10260
775	King	10245
776	opened	10239
777	complete	10231
778	bit	10216
779	easy	10210
780	appeared	10196
781	price	10178
782	created	10158
783	nearly	10158
784	letter	10144
785	popular	10129
786	theory	10119
787	throughout	10115
788	according	10086
789	ask	10081
790	financial	10064
791	remained	10049
792	books	10049
793	month	10048
794	size	10032
795	beyond	10013
796	Yes	10012
797	share	10006
798	act	9996
799	addition	9991
800	attempt	9991
801	hair	9990
802	II	9986
803	Court	9986
804	today	9984
805	actually	9976
806	structure	9966
807	worked	9960
808	leading	9946
809	dead	9928
810	events	9918
811	quickly	9916
812	forward	9909
813	bad	9899
814	growth	9890
815	amount	9885
816	relationship	9881
817	fine	9859
818	states	9858
819	dark	9837
820	published	9831
821	Why	9829
822	Sir	9805
823	University	9795
824	reading	9787
825	lower	9787
826	certainly	9783
827	north	9740
828	weeks	9739
829	access	9728
830	August	9727
831	Church	9722
832	wide	9719
833	basis	9716
834	workers	9702
835	style	9693
836	writing	9687
837	issues	9673
838	forms	9672
839	David	9635
840	answer	9619
841	yesterday	9603
842	doubt	9592
843	reported	9589
844	concerned	9589
845	centre	9562
846	miles	9553
847	takes	9541
848	George	9515
849	attack	9501
850	costs	9491
851	model	9486
852	Council	9478
853	D	9462
854	fell	9449
855	match	9430
856	hear	9426
857	appear	9418
858	allow	9417
859	red	9415
860	fall	9404
861	legal	9399
862	November	9395
863	bed	9390
864	Miss	9389
865	First	9383
866	rule	9366
867	Dr	9360
868	December	9329
869	remember	9287
870	giving	9257
871	questions	9255
872	OF	9236
873	capital	9227
874	Government	9221
875	e	9203
876	chance	9196
877	tax	9171
878	changed	9170
879	previous	9166
880	successful	9153
881	Most	9146
882	project	9144
883	lay	9117
884	purpose	9113
885	board	9106
886	foreign	9106
887	wrong	9101
888	summer	9100
889	designed	9019
890	spent	9009
891	someone	9001
892	direct	9001
893	continue	8996
894	shows	8983
895	lived	8979
896	seven	8966
897	formed	8961
898	region	8959
899	William	8953
900	born	8926
901	stop	8917
902	lines	8913
903	south	8911
904	village	8907
905	floor	8882
906	UK	8873
907	event	8853
908	except	8830
909	offered	8828
910	ideas	8822
911	James	8816
912	loss	8811
913	hundred	8810
914	placed	8808
915	lives	8790
916	limited	8779
917	agreed	8777
918	features	8777
919	deep	8735
920	activities	8723
921	feeling	8722
922	M	8713
923	sat	8692
924	named	8666
925	levels	8659
926	goes	8633
927	February	8630
928	army	8628
929	produce	8627
930	claim	8626
931	wish	8612
932	thinking	8611
933	serious	8609
934	immediately	8596
935	majority	8575
936	station	8564
937	ready	8560
938	Germany	8558
939	eight	8542
940	species	8534
941	evening	8531
942	ability	8509
943	standard	8502
944	inside	8496
945	showed	8495
946	happened	8473
947	security	8461
948	Peter	8452
949	President	8450
950	Party	8438
951	key	8434
952	treatment	8432
953	wasn't	8432
954	E	8429
955	title	8429
956	stay	8427
957	specific	8416
958	version	8408
959	beautiful	8402
960	choice	8394
961	response	8389
962	program	8383
963	Union	8366
964	lack	8361
965	remains	8358
966	remain	8353
967	announced	8341
968	figure	8340
969	river	8338
970	religious	8335
971	science	8335
972	heavy	8332
973	that's	8323
974	win	8320
